timestamp_ns,testbench,task_id,event,execution_time_ns,deadline_ns,temperature_c
585575269815,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575288593,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575293870,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575296907,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575299185,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575317963,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575323352,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575326370,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575328648,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575347426,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575352759,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575355796,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575358111,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575376870,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575382241,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575385278,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575387556,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575406333,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575411667,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575414704,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575417056,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575435778,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575441130,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575444167,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575446537,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
585575465241,Context-Switch Testing,4,CONTEXT_SWITCH,0,0,0.000
585575470556,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585575473611,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585575476000,Context-Switch Testing,3,CONTEXT_SWITCH,0,0,0.000
